RawFileName,RetentionTime,MS2 Scan Number,MS2 Injection Time,Sum SN,Ion Flux,TMT126,TMT127n,TMT127c,TMT128n,TMT128c,TMT129n,TMT129c,TMT130n,TMT130c,TMT131n,TMT131c,TMT132n,TMT132c,TMT133n,TMT133c,TMT134n
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,1.9003272576,211,750,323.726218130739,0.431634957507651,136.419629371154,56.002884701318,12.855836240647,5.61386477687901,2.31097650983492,61.6768780161266,0,4.36056634133189,15.2788189208104,29.2067632526363,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,1.9132394416,212,750,179.614179927889,0.239485573237186,101.221446803605,14.9944593817853,8.99857765724154,4.87504410911562,0,19.5997637898079,4.93262196335372,4.89635889602381,8.90970013312773,9.10091243213382,0,2.08529476169485,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,1.92616434693333,213,750,117.120003024144,0.156160004032192,55.2768373835648,14.8095357425156,3.12883120371032,2.26329382589413,0,23.6855660474407,0,0,7.07323331385565,10.8827055071627,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,1.94175124266667,215,750,230.510115558224,0.307346820744299,97.7536211976414,31.4591967271984,8.67743304655966,3.74490814641175,0,42.1961989822035,2.78633681816193,4.2970104467064,17.0527549565019,22.5426552368392,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,1.9549403968,216,750,112.05998549536,0.149413313993813,54.7345668311279,14.7290808693349,4.21070031011309,0,1.91045267852531,18.9201939904191,0,0,5.7020991574941,11.8528916583455,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,1.96785675973333,217,750,8.31258197585697,0.011083442634476,8.31258197585697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,1.98077099013333,218,750,43.4239347154375,0.0578985796205833,23.1169991696838,3.87966169135416,0,0,0,9.42624459367885,0,0,3.51186468417518,3.48916457654546,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,1.99649763626667,220,750,132.578338662573,0.176771118216765,55.3856640597472,23.4107246729028,3.44818189816801,2.39297761088726,0,26.1998118541451,0,2.24107978382432,8.72313392825204,10.7767648546467,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.00959938053333,221,750,46.0503078587602,0.061400410478347,20.2755133715419,7.94759106025642,0,2.44959836268163,0,6.83559389305387,0,0,3.93064706636982,4.6113641048566,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.14738737866667,237,750,9.06196380215706,0.0120826184028761,5.85097137201164,0,0,0,0,3.21099243014543,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.16065788986667,238,750,33.4060485377071,0.0445413980502761,15.0243057731313,1.59198100649914,4.34241709421181,0,0,6.90243903141902,0,0,3.03781219911533,2.50709343333045,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.17357007253333,239,750,6.37097708746292,0.00849463611661722,6.37097708746292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.18649472453333,240,750,2.16678465465642,0.00288904620620856,2.16678465465642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.2404932504,245,750,3.13526999199593,0.00418035998932791,3.13526999199593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
