RawFileName,RetentionTime,MS2 Scan Number,MS2 Injection Time,Sum SN,Ion Flux,Quant SN,Quant Ion Flux,Max IT Percent,Estimted Carrier Ratio,TMT126,TMT127n,TMT127c,TMT128n,TMT128c,TMT129n,TMT129c,TMT130n,TMT130c,TMT131n,TMT131c,TMT132n,TMT132c,TMT133n,TMT133c,TMT134n,TMT126_ppmerror,TMT127n_ppmerror,TMT127c_ppmerror,TMT128n_ppmerror,TMT128c_ppmerror,TMT129n_ppmerror,TMT129c_ppmerror,TMT130n_ppmerror,TMT130c_ppmerror,TMT131n_ppmerror,TMT131c_ppmerror,TMT132n_ppmerror,TMT132c_ppmerror,TMT133n_ppmerror,TMT133c_ppmerror,TMT134n_ppmerror
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,2.44045931201667,491,300,4.72317474468572,0.0157439158156191,0,0,1,∞,4.72317474468572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.441710287063015,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,2.6990852448,543,300,1.97008936843253,0.00656696456144176,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1.97008936843253,0,0,0,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-6.90787851318315,-1000000,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,2.95852727415,596,67.261,2.05008732557392,0.0304795843887828,0,0,0.224203333333333,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05008732557392,0,0,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,8.65125291089851,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.24698655253333,658,300,710.751120042898,2.36917040014299,575.480649836557,1.91826883278852,1,1.88045203945272,135.270470206341,195.818635629591,0,6.63305769690116,50.514011450481,30.7332604855181,56.5205533944581,80.9237698420117,69.3804679306888,84.9568934069078,0,0,0,0,0,0,-1.89345666002149,-1.96091814093213,-1000000,-2.40683170979951,-2.07179101667317,-1.66416817461778,-2.03297717641688,-1.86330191596609,-2.11969377551216,-1.95065742156877,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.32408356828333,674,300,725.104892964998,2.41701630988333,149.580664075753,0.498602213585842,1,30.7806751598739,570.338527337281,33.6071683227145,5.18570155196417,14.9607650320221,19.6598607840407,15.4988075341624,17.3784790915095,15.1333644962823,15.8594810687347,17.4827377462864,0,0,0,0,0,0,-1.59100949898847,-1.66084306227574,-2.04333960356181,-1.6922911605964,-2.07179101667317,-1.66416817461778,-1.56034127138862,-1.51154083135634,-1.65070177263712,-1.25251799051215,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.4832134208,708,224.489,3.98144912335024,0.0177356089757193,3.98144912335024,0.0177356089757193,0.748296666666667,0,0,0,0,0,0,0,0,3.98144912335024,0,0,0,0,0,0,0,0,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,12.5589025530337,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.5243985168,717,300,1.8626500140874,0.00620883338029133,0,0,1,∞,1.8626500140874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59100949898847,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.76766457146667,769,300,1388.29171888258,4.62763906294195,1132.98136894415,3.77660456314716,1,1.80275056191871,255.310349938436,382.911385271228,0,7.75000161400551,98.6162500240573,61.0146377668188,121.753144795094,157.850994405565,139.061275159994,164.023679907385,0,0,0,0,0,0,-2.25639325326111,-2.38102325105108,-1000000,-1.6922911605964,-2.30995945193283,-2.13682720790642,-2.38745410518808,-2.21506300057584,-2.70593377910595,-2.53244028078261,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.78409909548333,772,300,216.447146242446,0.721490487474819,158.302413348473,0.527674711161575,1,2.93841296106983,58.1447328939733,72.869251478466,0,2.12762940369489,13.3171719442832,8.75673280636573,12.7171730208851,18.505118978698,13.271572521963,16.7377631941166,0,0,0,0,0,0,-2.1959038210545,-2.3210082353198,-1000000,-2.1686515267318,-2.07179101667317,-1.9004976912621,-2.38745410518808,-2.33231669544576,-2.11969377551216,-2.41608370893984,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.80262951973333,776,300,8.780572527935,0.0292685750931167,0,0,1,∞,8.780572527935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.80079814312053,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
