RawFileName,RetentionTime,MS2 Scan Number,MS2 Injection Time,Sum SN,Ion Flux,Carrier Ratio,TMT126,TMT127n,TMT127c,TMT128n,TMT128c,TMT129n,TMT129c,TMT130n,TMT130c,TMT131n,TMT131c,TMT132n,TMT132c,TMT133n,TMT133c,TMT134n
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.80262951973333,776,300,8.780572527935,0.0292685750931167,∞,8.780572527935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.82110809095,780,300,2.8652719847978,0.00955090661599266,∞,2.8652719847978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.85590697788333,787,300,1.93917800305851,0.00646392667686168,NaN,0,0,0,0,0,0,0,0,0,0,0,1.93917800305851,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.9239930187,802,300,18.233532700873,0.0607784423362435,∞,18.233532700873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.97509796906667,812,300,2.49222102104937,0.00830740340349791,0,0,0,0,0,0,0,0,2.49222102104937,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.99254112721667,816,300,2.21533812028552,0.00738446040095172,NaN,0,2.21533812028552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,3.99795338026667,817,300,1.78491932666543,0.00594973108888477,0,0,0,0,0,0,0,0,0,0,0,1.78491932666543,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.22227360268333,863,300,1.9103553214403,0.00636785107146767,0,0,0,0,0,0,1.9103553214403,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.31480131813333,882,300,1776.19699888471,5.92065666294902,2.57192157074746,312.680576745828,490.918873901958,0,13.9480599094931,130.350436907032,74.7241375573006,158.680095524436,205.431573159693,183.565212788859,205.898032390108,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.32040773201667,883,300,404.76451710956,1.34921505703187,4.9909751071644,103.349397779583,135.757073660741,0,6.87940890208262,21.7800484820464,15.248303201505,24.4132193314996,37.0398977043588,29.3234755450095,30.9736925027348,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.41917047786667,903,300,3.41527430444324,0.0113842476814775,∞,3.41527430444324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.44651091386667,908,300,14.7362704779208,0.0491209015930692,∞,14.7362704779208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.4997733488,919,300,174.812303584809,0.582707678616029,45.3464998085488,141.430316049384,8.43094317319202,0,2.35738345123412,4.60796082401098,2.93711068165888,3.00373100952644,4.02298277267106,2.27932230075808,5.74255332237304,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.51057327706667,921,300,78.8830511847461,0.262943503949154,44.4627470642187,63.9658067600369,3.40813876056304,0,0,3.27649470657104,2.98613264807435,0,2.42414723742409,0,2.82233107207664,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.53366583146667,926,300,2.23090229333168,0.00743634097777228,∞,2.23090229333168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.64194086721667,948,300,2.52205214693999,0.00840684048979995,∞,2.52205214693999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.74149954721667,968,300,5.42233185990201,0.0180744395330067,∞,5.42233185990201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.87011107466667,994,181.989,4425.80540189354,24.3190819329385,5.45116533634501,1186.74459858878,1497.42278594169,0,74.4317467933016,232.988113067115,138.516497876185,313.254515168936,324.620715028576,295.189393547713,362.637035881248,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.87458665893333,995,300,799.006675934251,2.6633555864475,2.63638619368315,140.815882748301,230.891080918606,0,6.62716358293297,59.3215850343546,39.4449879357148,65.1421088433486,90.8424733881952,82.9500400701032,82.9713534126945,0,0,0,0,0,0
